BellGothic-Black				301-350/307/dgbl____.afm
BellGothic-Bold				301-350/307/dgb_____.afm
BellGothic-Light				301-350/307/dgl_____.afm
Belwe-Bold				051-100/052/bwb_____.afm
Belwe-Condensed				051-100/052/bwc_____.afm
Belwe-Light				051-100/052/bwl_____.afm
Belwe-Medium				051-100/052/bwm_____.afm
Bembo				151-200/161/bm______.afm
Bembo-Bold				151-200/161/bmb_____.afm
Bembo-BoldExpert				301-350/349/bmbxp___.afm
Bembo-BoldItalic				151-200/161/bmbi____.afm
Bembo-BoldItalicExpert				301-350/349/bmbix___.afm
Bembo-BoldItalicOsF				301-350/349/bmbio___.afm
Bembo-BoldOsF				301-350/349/bmbos___.afm
Bembo-Expert				301-350/349/bmexp___.afm
Bembo-ExtraBold				151-200/186/bmeb____.afm
Bembo-ExtraBoldExpert				301-350/349/bmebx___.afm
Bembo-ExtraBoldItalic				151-200/186/bmebi___.afm
Bembo-ExtraBoldItalicExpert				301-350/349/bmeix___.afm
Bembo-ExtraBoldItalicOsF				301-350/349/bmeis___.afm
Bembo-ExtraBoldOsF				301-350/349/bmebs___.afm
Bembo-Italic				151-200/161/bmi_____.afm
Bembo-ItalicExpert				301-350/349/bmixp___.afm
Bembo-ItalicOsF				301-350/349/bmios___.afm
Bembo-SC				301-350/349/bmrsc___.afm
Bembo-Semibold				151-200/186/bmsb____.afm
Bembo-SemiboldExpert				301-350/349/bmsbx___.afm
Bembo-SemiboldItalic				151-200/186/bmsbi___.afm
Bembo-SemiboldItalicExpert				301-350/349/bmsix___.afm
Bembo-SemiboldItalicOsF				301-350/349/bmsis___.afm
Bembo-SemiboldOsF				301-350/349/bmsbo___.afm
Benguiat-Bold				001-050/011/bgb_____.afm
Benguiat-Bold				351-400/369/bgb_____.afm
Benguiat-Bold				900-960/950/bgb_____.afm
Benguiat-BoldItalic				351-400/369/bgbi____.afm
Benguiat-Book				001-050/011/bgw_____.afm
Benguiat-Book				351-400/369/bgw_____.afm
Benguiat-Book				900-960/950/bgw_____.afm
Benguiat-BookItalic				351-400/369/bgwi____.afm
Benguiat-Medium				351-400/369/bgm_____.afm
Benguiat-MediumItalic				351-400/369/bgmi____.afm
BenguiatGothic-Bold				151-200/178/beb_____.afm
BenguiatGothic-Bold				900-960/950/beb_____.afm
BenguiatGothic-BoldOblique				151-200/178/bebo____.afm
BenguiatGothic-BoldOblique				900-960/950/bebo____.afm
BenguiatGothic-Book				151-200/178/bew_____.afm
BenguiatGothic-Book				900-960/950/bew_____.afm
BenguiatGothic-BookOblique				151-200/178/bewo____.afm
BenguiatGothic-BookOblique				900-960/950/bewo____.afm
BenguiatGothic-Heavy				151-200/178/beh_____.afm
BenguiatGothic-Heavy				900-960/950/beh_____.afm
BenguiatGothic-HeavyOblique				151-200/178/beho____.afm
BenguiatGothic-HeavyOblique				900-960/950/beho____.afm
BenguiatGothic-Medium				151-200/178/bem_____.afm
BenguiatGothic-Medium				900-960/950/bem_____.afm
BenguiatGothic-MediumOblique				151-200/178/bemo____.afm
BenguiatGothic-MediumOblique				900-960/950/bemo____.afm
Berkeley-Black				101-150/106/bybl____.afm
Berkeley-BlackItalic				101-150/106/bybli___.afm
Berkeley-Bold				101-150/106/byb_____.afm
Berkeley-Bold				typesets/byb_____.afm
Berkeley-BoldItalic				101-150/106/bybi____.afm
Berkeley-BoldItalic				typesets/bybi____.afm
Berkeley-Book				101-150/106/byw_____.afm
Berkeley-Book				typesets/byw_____.afm
Berkeley-BookItalic				101-150/106/bywi____.afm
Berkeley-BookItalic				typesets/bywi____.afm
Berkeley-Italic				101-150/106/byi_____.afm
Berkeley-Medium				101-150/106/bym_____.afm
BerlinerGrotesk-Light				301-350/311/otl_____.afm
BerlinerGrotesk-Light				900-960/903/otl_____.afm
BerlinerGrotesk-Medium				301-350/311/otm_____.afm
Berling-Bold				201-250/221/bnb_____.afm
Berling-BoldItalic				201-250/221/bnbi____.afm
Berling-Italic				201-250/221/bni_____.afm
Berling-Roman				201-250/221/bnr_____.afm
BermudaLP-Dots				401-450/422/uddc1___.afm
BermudaLP-Open				401-450/422/udou____.afm
BermudaLP-Solid				401-450/422/udrg____.afm
BermudaLP-Squiggle				401-450/422/uddc2___.afm
Bernhard-BoldCondensed				351-400/390/dhbc____.afm
